e,k3_AB,k3_AB_err,k3_BB,k3_BB_err
0.001,8.294853254557672e-31,2.0803077218462118e-31,2.4463097512856276e-31,1.1476926262906074e-31
0.005,3.6543311000449634e-31,1.6243711275216857e-31,1.3785514065949637e-31,9.179630145446879e-32
0.01,1.8589328082014278e-31,3.574125370563507e-32,7.822240921970074e-32,3.180328484971128e-32
0.05,8.722243365353585e-32,2.806780812452888e-32,2.3438322483774722e-32,1.3578516147894872e-32
0.1,5.438911252083744e-32,1.1837892162546156e-32,2.514435863451384e-32,1.3281436033490162e-32
1.0,1.2403398572999452e-32,7.477340226884354e-33,3.479703104967348e-33,2.9555209605260374e-33
10.0,3.368073254287636e-33,1.0590520133678975e-33,1.8964878192361947e-33,1.2379173325841504e-33
15.0,2.3951751874536553e-33,1.0819329846396e-33,8.866261610933968e-34,5.885394012040524e-34
20.0,1.3365114698010112e-33,6.914678712928267e-34,5.571955414182971e-34,3.937870963322088e-34
25.0,1.2495869786595463e-33,7.307004204036043e-34,9.259755545981669e-34,7.95485524646261e-34
30.0,8.440465106768557e-34,5.1366107753370365e-34,1.344915245944475e-33,1.2381621457171382e-33
50.0,3.5656392774870042e-34,2.3919304174988294e-34,1.627771648430056e-34,1.3344616623664603e-34
100.0,6.128823875243379e-35,1.8339626139271839e-35,9.172293586812293e-35,3.5853860860563515e-35
