e,b,pAB,pAB_err,pBB,pBB_err
0.001,0.0,0.1026369168356998,0.0030563102703052535,0.030425963488843813,0.0017297136039194792
0.001,2.0,0.10689655172413794,0.0031116753076837803,0.029614604462474645,0.0017072087839952942
0.001,4.0,0.0973979953427154,0.0029833941178261415,0.03027234990381695,0.0017239927290885451
0.001,6.0,0.08740229418333165,0.002845515417200571,0.02700233478834636,0.0016331136106857373
0.001,8.0,0.08441558441558442,0.0028003361333519355,0.025162337662337664,0.001577579649751248
0.001,10.0,0.07905138339920949,0.0027163133811665837,0.022195196108239588,0.001483074653032563
0.001,12.0,0.07051542207792208,0.002578771142507147,0.02130681818181818,0.001454561987808825
0.001,14.0,0.06913705583756345,0.002556113868035451,0.02,0.0014106196212076594
0.001,16.0,0.06341166936790923,0.002452767545876487,0.019145056726094005,0.0013792028565643166
0.001,18.0,0.06165839829907867,0.0024202714523028023,0.01883162903715703,0.001367738866398952
0.001,20.0,0.05596181190331099,0.0023163850286679268,0.01736745886654479,0.0013165392003598151
0.001,22.0,0.0574642748555792,0.0023429084106523558,0.019256106212627952,0.0013834691482556174
0.001,24.0,0.05481811733711622,0.0022913064508419457,0.020670787313810925,0.0014322086403121411
0.001,26.0,0.05399655556681187,0.0022748292899518554,0.016411711072839633,0.001278801184748671
0.001,28.0,0.05640089267599919,0.0023234982122035223,0.015926151349158046,0.001260883198672276
0.001,30.0,0.06219611021069692,0.002430720668136687,0.018233387358184763,0.0013465895356775755
0.001,32.0,0.05442383703253269,0.002283759002928922,0.016317016317016316,0.0012754263618621588
0.001,34.0,0.05760649087221095,0.0023464613009975665,0.013995943204868154,0.0011830469470705922
0.001,36.0,0.05735711390352655,0.002340737279614952,0.012768544791244426,0.0011302268594697634
0.001,38.0,0.06263301915475829,0.0024392928060333855,0.013377926421404682,0.0011565841895604112
0.001,40.0,0.06041835905767669,0.002400920081269345,0.010966693744922826,0.0010494682308433844
0.001,42.0,0.059912521615298545,0.0023935587147644426,0.011392533821584783,0.0010703437026570487
