e,b,n12,n23,n31,nd,nc,rej,time
1.0,10.0,422,464,488,28625,0,1,2560.60058093071
1.0,8.0,412,530,508,28548,0,2,2582.166498184204
1.0,12.0,410,484,506,28599,0,1,2585.0887875556946
1.0,6.0,382,600,566,28449,0,3,2694.8827352523804
1.0,14.0,441,427,421,28709,0,2,2768.264009952545
1.0,4.0,383,646,671,28299,0,1,2916.1299822330475
1.0,2.0,392,770,756,28081,0,1,3145.8458437919617
1.0,0.0,411,816,814,27958,0,1,3252.3307106494904
1.0,24.0,304,317,295,29083,0,1,2266.1401178836823
1.0,30.0,236,196,208,29355,0,5,1818.6932423114777
1.0,22.0,321,356,359,28960,0,4,2444.858972787857
1.0,20.0,363,390,388,28856,0,3,2591.1207852363586
1.0,26.0,287,322,292,29099,0,0,2293.1734759807587
1.0,18.0,374,441,434,28750,0,1,2656.663660287857
1.0,28.0,283,272,257,29186,0,2,2129.3841259479523
1.0,16.0,413,408,470,28709,0,0,2748.8919847011566
1.0,46.0,31,32,28,29907,0,2,390.051917552948
1.0,44.0,24,61,51,29862,0,2,495.2114064693451
1.0,42.0,47,72,57,29824,0,0,626.3702595233917
1.0,48.0,7,12,19,29961,0,1,307.43047857284546
1.0,40.0,84,69,75,29770,0,2,828.0378160476685
1.0,50.0,7,9,8,29973,0,3,258.56120133399963
1.0,52.0,8,6,9,29976,0,1,259.91563963890076
1.0,38.0,160,103,99,29635,0,3,1020.0605700016022
1.0,58.0,4,1,4,29991,0,0,207.7130835056305
1.0,54.0,12,3,6,29977,0,2,245.20208501815796
1.0,60.0,3,1,3,29992,0,1,155.71476697921753
1.0,62.0,1,1,1,29996,0,1,149.07197976112366
1.0,56.0,6,0,5,29989,0,0,328.5326223373413
1.0,36.0,191,92,141,29575,0,1,1261.5759184360504
1.0,66.0,0,1,0,29997,0,2,144.9436812400818
1.0,64.0,1,0,0,29997,0,2,171.05403971672058
1.0,34.0,216,132,148,29503,0,1,1360.1566050052643
1.0,68.0,1,0,2,29994,0,3,148.53561878204346
1.0,70.0,0,0,0,29998,0,2,127.22956609725952
1.0,72.0,0,0,2,29998,0,0,141.75282454490662
1.0,74.0,0,1,0,29997,0,2,120.63039994239807
1.0,78.0,0,0,0,30000,0,0,112.95366144180298
1.0,76.0,0,1,0,29998,0,1,130.53254985809326
1.0,80.0,0,0,0,29998,0,2,129.3650140762329
1.0,82.0,1,0,0,29999,0,0,128.47663474082947
1.0,84.0,0,1,0,29998,0,1,105.28149890899658
1.0,32.0,235,165,186,29408,0,6,1575.8597128391266
1.0,86.0,0,0,0,29997,0,3,102.33505749702454
1.0,88.0,0,0,0,30000,0,0,100.44270825386047
1.0,90.0,0,1,0,29998,0,1,98.03912401199341
1.0,94.0,0,0,0,29997,0,3,94.71603202819824
1.0,92.0,0,0,2,29996,0,2,97.20574069023132
1.0,96.0,0,0,0,29998,0,2,93.11821484565735
1.0,98.0,0,0,1,29996,0,3,91.7323579788208
1.0,100.0,0,0,1,29999,0,0,91.59646415710449
50.0,14.0,166,101,116,29617,0,0,1322.4940533638
50.0,12.0,191,140,122,29547,0,0,1362.8085491657257
50.0,10.0,208,172,160,29459,0,1,1416.0000112056732
50.0,6.0,230,226,227,29317,0,0,1532.2054102420807
50.0,4.0,243,258,303,29196,0,0,1706.9885120391846
50.0,2.0,211,360,350,29079,0,0,1723.985848903656
50.0,8.0,281,188,196,29335,0,0,1759.7752261161804
50.0,0.0,252,378,388,28982,0,0,1776.5839698314667
50.0,30.0,2,1,0,29997,0,0,164.220867395401
50.0,26.0,8,3,1,29987,0,1,223.56669855117798
50.0,22.0,32,21,19,29928,0,0,421.28841376304626
50.0,28.0,4,2,2,29992,0,0,189.12293338775635
50.0,24.0,16,14,12,29958,0,0,302.4895577430725
50.0,20.0,75,33,32,29860,0,0,633.9220852851868
50.0,38.0,0,0,0,30000,0,0,94.82706308364868
50.0,32.0,0,0,0,30000,0,0,112.07722902297974
50.0,34.0,0,1,0,29999,0,0,115.65121793746948
50.0,36.0,0,0,0,30000,0,0,122.15596556663513
50.0,40.0,0,0,0,29999,0,1,91.85909271240234
50.0,48.0,0,0,0,30000,0,0,77.93557381629944
50.0,44.0,0,0,0,30000,0,0,89.41437602043152
50.0,46.0,0,0,0,30000,0,0,81.63772821426392
