e,b,n12,n23,n31,nd,nc,rej,time
1.0,1.5,344,771,764,28119,0,2,1432.1320579051971
1.0,1.0,403,708,759,28126,0,4,1448.3875224590302
1.0,0.0,413,766,816,28002,0,3,1492.8028321266174
1.0,0.5,424,783,822,27971,0,0,1578.5711450576782
1.0,2.0,428,776,724,28072,0,0,1499.52046585083
1.0,2.5,398,751,764,28086,0,1,1536.145351409912
1.0,3.0,401,786,775,28037,0,1,1527.9093294143677
1.0,3.5,416,712,750,28121,0,1,1525.4939305782318
1.0,4.0,376,695,668,28260,0,1,1428.512767314911
1.0,4.5,396,655,654,28293,0,2,1407.3309905529022
1.0,5.0,388,641,635,28334,0,2,1402.8442158699036
1.0,5.5,379,633,591,28397,0,0,1356.5793006420135
1.0,6.0,380,530,581,28509,0,0,1331.1883141994476
1.0,6.5,391,538,545,28524,0,2,1344.5356137752533
1.0,7.0,445,563,523,28469,0,0,1341.8795940876007
1.0,7.5,413,525,535,28526,0,1,1329.9633564949036
1.0,8.0,404,526,526,28543,0,1,1380.963666677475
1.0,8.5,439,466,506,28588,0,1,2078.2694187164307
1.0,9.0,437,507,484,28570,0,2,2108.463129043579
1.0,10.0,380,513,505,28599,0,3,2018.8207166194916
1.0,11.0,407,429,481,28681,0,2,2005.0361771583557
1.0,11.5,429,420,491,28657,0,3,2013.8650579452515
1.0,9.5,481,477,475,28563,0,4,2115.8495428562164
1.0,10.5,418,447,487,28647,0,1,2105.5003039836884
1.0,13.0,392,489,444,28675,0,0,2128.3002586364746
1.0,12.5,449,455,452,28641,0,3,2156.5174338817596
1.0,12.0,432,447,502,28614,0,5,2172.7451667785645
1.0,13.5,434,427,490,28649,0,0,2188.1209392547607
1.0,14.0,452,446,468,28633,0,1,2268.1553761959076
1.0,16.0,422,427,443,28705,0,3,2121.440160036087
1.0,14.5,438,433,482,28645,0,2,2219.2631556987762
1.0,15.5,441,445,423,28691,0,0,2201.5678396224976
1.0,15.0,437,510,412,28639,0,2,2318.8579626083374
1.0,16.5,439,432,427,28701,0,1,2180.055278301239
1.0,17.0,433,435,427,28704,0,1,2171.3499507904053
1.0,18.5,344,434,411,28808,0,3,2054.222980260849
1.0,18.0,399,471,423,28704,0,3,2132.6644582748413
1.0,17.5,369,452,449,28727,0,3,2197.6070504188538
1.0,19.0,372,454,442,28730,0,2,2173.0029270648956
1.0,19.5,309,417,392,28880,0,2,1932.997132062912
1.0,20.0,343,372,384,28899,0,2,1973.539677143097
1.0,21.5,321,353,349,28974,0,3,1915.269981622696
1.0,22.0,313,318,357,29010,0,2,1901.869475364685
1.0,21.0,359,343,351,28947,0,0,2000.1453387737274
1.0,20.5,337,338,378,28946,0,1,2013.2174484729767
1.0,22.5,344,318,334,29003,0,1,1891.522180557251
1.0,23.0,343,318,300,29039,0,0,1126.2070441246033
1.0,23.5,316,330,329,29024,0,1,1170.051423072815
1.0,24.0,326,352,341,28977,0,4,1188.7590370178223
1.0,24.5,319,335,326,29019,0,1,1149.5782940387726
1.0,25.0,296,337,310,29055,0,2,1160.4410827159882
1.0,25.5,313,320,324,29042,0,1,1155.5298416614532
1.0,27.0,321,284,271,29122,0,2,1075.3095352649689
1.0,26.5,325,308,303,29063,0,1,1117.903753042221
1.0,26.0,348,312,297,29042,0,1,1228.829535484314
1.0,27.5,280,265,306,29146,0,3,1087.8147745132446
1.0,28.0,307,226,270,29192,0,5,1068.782158613205
1.0,28.5,286,265,245,29202,0,2,990.3371202945709
1.0,30.0,252,236,206,29305,0,1,926.3686811923981
1.0,29.0,266,264,224,29246,0,0,947.4234573841095
1.0,29.5,250,237,222,29290,0,1,967.4531495571136
1.0,31.0,251,177,205,29365,0,2,812.2656543254852
1.0,31.5,223,197,195,29383,0,2,801.1198406219482
1.0,30.5,239,194,226,29341,0,0,928.9743082523346
1.0,32.0,232,203,160,29403,0,2,791.7562375068665
1.0,32.5,238,165,187,29410,0,0,796.7572999000549
1.0,33.0,221,170,206,29403,0,0,749.2198188304901
1.0,33.5,209,155,145,29491,0,0,684.6193408966064
1.0,34.0,206,134,143,29515,0,2,676.7514588832855
1.0,34.5,207,141,151,29500,0,1,673.103709936142
1.0,35.0,183,132,136,29546,0,3,662.8592598438263
1.0,37.0,171,122,115,29590,0,2,558.184401512146
1.0,35.0,216,164,160,29458,0,2,683.9567716121674
1.0,41.0,67,62,72,29799,0,0,402.6008837223053
1.0,39.0,123,94,96,29686,0,1,483.53199315071106
1.0,45.0,18,33,29,29917,0,3,229.31019687652588
1.0,43.0,40,61,53,29846,0,0,330.931654214859
1.0,49.0,13,12,12,29962,0,1,160.72029852867126
1.0,47.0,13,20,35,29932,0,0,220.23439645767212
1.0,51.0,9,11,11,29965,0,4,200.63959503173828
1.0,53.0,6,5,3,29981,0,5,192.04531478881836
1.0,55.0,1,1,4,29990,0,4,128.62298035621643
1.0,57.0,2,7,1,29990,0,0,119.46048998832703
1.0,59.0,1,1,1,29994,0,3,100.84769701957703
1.0,61.0,3,1,0,29994,0,2,113.64558458328247
1.0,63.0,1,2,0,29991,0,6,117.12453484535217
1.0,65.0,1,0,0,29999,0,0,90.20691108703613
1.0,67.0,0,0,0,30000,0,0,84.83837294578552
1.0,69.0,0,0,0,29997,0,3,85.03378391265869
1.0,71.0,1,0,2,29995,0,2,80.79366731643677
1.0,71.0,0,0,0,29997,0,3,270.7558944225311
1.0,73.0,1,1,1,29996,0,1,267.2103998661041
1.0,75.0,0,0,0,29998,0,2,260.516051530838
1.0,77.0,0,0,0,29998,0,2,248.02668690681458
1.0,79.0,0,1,1,29998,0,0,251.84600448608398
1.0,81.0,0,0,0,30000,0,0,235.40369534492493
1.0,83.0,0,0,1,29998,0,1,232.25973796844482
1.0,85.0,0,1,0,29996,0,3,227.57212233543396
1.0,87.0,0,1,0,29998,0,1,222.0463888645172
1.0,109.0,0,1,1,29995,0,3,196.94845294952393
1.0,111.0,0,0,0,29999,0,1,198.7329797744751
1.0,103.0,0,1,1,29998,0,0,200.38906741142273
1.0,107.0,0,1,0,29994,0,5,200.63865280151367
1.0,105.0,0,1,0,29994,0,5,203.22572898864746
1.0,89.0,0,0,0,30000,0,0,219.11342906951904
1.0,97.0,0,0,0,29998,0,2,221.7965247631073
1.0,101.0,0,0,0,29999,0,1,222.55603051185608
1.0,99.0,0,0,0,29998,0,2,225.12671089172363
