e	b	r12	r23	r31	nd	nc	rej	time
1.0	0.0	2	458	437	2077	0	26	149.46804285049438
1.0	25.0	1	289	285	2394	0	31	157.89529991149902
1.0	50.0	1	255	240	2475	0	29	124.1906259059906
1.0	75.0	6	235	228	2504	0	27	132.39496183395386
1.0	100.0	1	232	254	2487	0	26	152.9818184375763
1.0	125.0	5	201	242	2519	0	33	146.20404243469238
1.0	150.0	8	243	214	2495	0	40	157.46433091163635
1.0	175.0	4	225	233	2513	0	25	139.38619899749756
1.0	200.0	3	214	210	2546	0	27	128.23871421813965
1.0	225.0	2	113	118	2732	0	35	81.72152829170227
1.0	250.0	0	68	64	2834	0	34	52.089988231658936
1.0	275.0	0	40	37	2890	0	33	34.205262660980225
1.0	300.0	0	16	25	2934	0	25	35.654622077941895
1.0	325.0	0	10	15	2936	0	39	24.02437424659729
1.0	350.0	0	7	5	2964	0	24	22.76050305366516
1.0	375.0	0	6	2	2959	0	33	34.113842487335205
1.0	400.0	0	0	2	2954	0	44	36.66296100616455
1.0	425.0	0	0	3	2965	0	32	37.78167653083801
1.0	450.0	0	1	0	2961	0	38	37.57563400268555
1.0	475.0	0	1	1	2966	0	32	26.95171070098877
1.0	500.0	0	1	1	2961	0	37	36.112444162368774
1.0	525.0	0	0	3	2963	0	34	36.30162239074707
1.0	550.0	0	0	1	2960	0	39	36.743448972702026
1.0	575.0	0	0	0	2953	0	47	9.174497604370117
1.0	600.0	0	1	1	2968	0	30	24.613260507583618
1.0	625.0	0	1	0	2956	0	43	40.97749996185303
1.0	650.0	0	1	1	2955	0	43	39.3588182926178
1.0	675.0	0	0	0	2969	0	31	41.56576108932495
1.0	700.0	0	1	0	2943	0	56	10.499201774597168
1.0	725.0	0	0	0	2952	0	48	41.801626682281494
1.0	750.0	0	0	0	2951	0	49	48.38515520095825
1.0	775.0	0	0	1	2938	0	61	50.42340612411499
1.0	800.0	0	1	0	2956	0	43	28.681519031524658
1.0	825.0	0	0	0	2946	0	54	22.11735200881958
1.0	850.0	0	1	0	2948	0	51	37.795576095581055
1.0	875.0	0	0	0	2930	0	70	44.95128607749939
1.0	900.0	0	0	0	2938	0	62	44.82330846786499
1.0	925.0	0	0	1	2934	0	65	30.53231382369995
1.0	950.0	0	0	0	2936	0	64	12.902495861053467
1.0	975.0	0	0	0	2954	0	46	6.193078994750977
1.0	1000.0	0	0	0	2952	0	48	52.12686324119568
1.0	1025.0	0	0	1	2932	0	67	52.481672525405884
1.0	1050.0	0	0	0	2945	0	55	22.53434658050537
1.0	1075.0	0	0	0	2945	0	55	29.170979261398315
1.0	1100.0	0	0	0	2937	0	63	13.354282140731812
1.0	1125.0	0	0	0	2961	0	39	27.342166423797607
1.0	1150.0	0	0	0	2952	0	48	50.57834219932556
1.0	1175.0	0	0	0	2950	0	50	52.69546437263489
1.0	1200.0	0	0	0	2962	0	38	44.65833783149719
1.0	1225.0	0	0	0	2951	0	49	26.55535340309143
1.0	1250.0	0	0	0	2945	0	55	5.7949604988098145
