e,k3_AB,k3_AB_err,k3_BB,k3_BB_err
0.001,1.1187015227302678e-24,1.2118192473713878e-25,1.540202445795172e-28,1.450599490492602e-28
0.01,2.0097839597472072e-25,2.507304708042186e-26,1.2686214145616007e-28,1.0196665433118945e-28
1.0,5.949544005155994e-27,6.081149710477465e-28,4.2706420377786017e-29,2.440337114200514e-29
10.0,1.0456230904329447e-27,1.0436750800321434e-28,1.963629198551498e-29,6.672335622519832e-30
100.0,2.0330948184797745e-28,2.595038569793024e-29,6.3073620945635794e-30,2.616291282360641e-30
1000.0,2.8043630661459215e-29,2.958384216566434e-30,1.7139966427259293e-30,4.141604127572174e-31
8000.0,3.6028194957133404e-30,5.802952224562215e-31,1.0713761468185401e-31,3.6007447528969077e-32
10000.0,2.2682452368965848e-30,4.3435452607763615e-31,7.612272717851522e-32,3.983449512317316e-32
15000.000000000002,9.625508613098063e-31,2.055723530265932e-31,3.455372560309153e-32,1.6007526820853228e-32
20000.0,6.96772616227199e-31,1.4623901134470494e-31,1.7434639167825903e-32,7.239986041514712e-33
65000.0,1.0636401746372796e-31,2.8294184818074855e-32,6.461213908989841e-33,4.125379973076261e-33
