e,sig_AB,sig_AB_err,sig_BB,sig_BB_err
0.001,2.2316852290961464e-26,2.417444742627027e-27,3.072532733941406e-30,2.8937847946840443e-30
0.01,1.2678506145903425e-27,1.5817062324730607e-28,8.002961872263644e-31,6.432456818780679e-31
1.0,3.7532059039908444e-30,3.83622794900528e-31,2.694088638748017e-32,1.5394604455077397e-32
10.0,2.0859018770493815e-31,2.082015812760326e-32,3.917222055025202e-33,1.3310568145118936e-33
100.0,1.2825560193316716e-32,1.6370521964020268e-33,3.978931600709018e-34,1.6504592417512967e-34
1000.0,5.59439269955264e-34,5.90164777999891e-35,3.419232845018768e-35,8.262040024499896e-36
8000.0,2.541067609680266e-35,4.0928206244863555e-36,7.556413047347553e-37,2.5396042941365575e-37
10000.0,1.4308981339480256e-35,2.7400788535843187e-36,4.8021204453096e-37,2.5129163201284366e-37
15000.000000000002,4.9578886330971894e-36,1.0588581583758491e-36,1.779786713458541e-37,8.24512640933191e-38
20000.0,3.1080985883151174e-36,6.52329402923704e-37,7.77708195231853e-38,3.2295457472047865e-38
65000.0,2.6318235217031704e-37,7.000986133023806e-38,1.5987337776362277e-38,1.0207655096149241e-38
