Source,T (K),k3,
,,,
Present data,150,2.80E-29,
Present data,175,2.20E-29,
Present data,210,1.80E-29,
Present data,230,1.55E-29,
Present data,250,1.30E-29,
"Adams, 1979",125,6.50E-28,
"Adams, 1979",160,2.00E-28,
"Adams, 1979",200,9.00E-29,
"Adams, 1981",80,2.50E-28,
"Adams, 1981",205,4.50E-29,
"Anicich, 2000",300,1.60E-29,
"Bohme, 1969",80,1.20E-28,
"Bohringer, 1983",50,5.00E-28,
"Bohringer, 1983",60,4.00E-28,
"Bohringer, 1983",65,3.80E-28,
"Bohringer, 1983",95,2.20E-28,
"Bohringer, 1983",130,1.50E-28,
"Bohringer, 1983",150,1.00E-28,
"Bohringer, 1983",210,4.20E-29,
"Bohringer, 1983",300,2.00E-29,
"Bohringer, 1983",380,1.30E-29,
"Frost, 2001",300,1.80E-29,
"Guthrie, 1991",250,2.20E-29,
"Guthrie, 1991",280,2.00E-29,
"Guthrie, 1991",320,1.40E-29,
"Guthrie, 1991",360,1.20E-29,
"Guthrie, 1991",380,6.50E-30,
"Guthrie, 1991",400,6.50E-30,
"van Koppen, 1984",80,7.00E-29,
"van Koppen, 1984",100,4.80E-29,
"van Koppen, 1984",130,3.50E-29,
"van Koppen, 1984",150,2.80E-29,
"van Koppen, 1984",200,1.80E-29,
"Märk, 1971",300,5.50E-30,
"Smith, 1978",300,1.10E-29,
