e,b,n12,n23,n31,nd,nc,rej,time
1.0000e-02,0.0000,1001,3216,11,25096,0,676,747.3940
1.0000e-02,20.0000,633,3044,10,25710,0,603,756.1333
1.0000e-02,40.0000,606,2758,1,26029,0,606,719.2123
1.0000e-02,60.0000,647,2460,12,26265,0,616,754.2553
1.0000e-02,80.0000,683,2157,7,26555,0,598,777.8167
1.0000e-02,100.0000,581,2335,3,26455,0,626,806.0392
1.0000e-02,120.0000,618,2498,3,26237,0,644,759.0960
1.0000e-02,140.0000,535,1965,7,26861,0,632,691.7262
1.0000e-02,160.0000,545,1656,11,27126,0,662,683.4106
1.0000e-02,180.0000,439,1310,9,27538,0,704,616.8781
1.0000e-02,200.0000,277,857,6,28186,0,674,479.6453
1.0000e-02,220.0000,218,600,1,28454,0,727,407.4984
1.0000e-02,240.0000,131,337,1,28787,0,744,355.2425
1.0000e-02,260.0000,65,213,0,28924,0,798,297.1675
1.0000e-02,280.0000,31,169,0,28966,0,834,248.5661
1.0000e-02,300.0000,25,124,0,28982,0,869,231.0502
1.0000e-02,320.0000,6,89,0,29045,0,860,196.3154
1.0000e-02,340.0000,8,71,1,28975,0,945,180.4220
1.0000e-02,360.0000,6,44,0,28924,0,1026,160.0033
1.0000e-02,380.0000,4,34,0,28888,0,1074,142.5984
1.0000e-02,400.0000,2,26,0,28902,0,1070,136.5280
1.0000e-02,420.0000,0,25,0,28835,0,1140,122.2676
1.0000e-02,440.0000,1,16,0,28775,0,1208,114.9785
1.0000e-02,460.0000,1,19,0,28849,0,1131,107.2896
1.0000e-02,480.0000,0,15,0,28883,0,1102,103.1654
1.0000e-02,500.0000,0,15,0,28796,0,1189,98.1307
1.0000e-02,520.0000,0,13,0,28820,0,1167,92.1685
1.0000e-02,540.0000,0,13,0,28901,0,1086,86.8419
1.0000e-02,560.0000,0,15,0,28863,0,1122,83.3195
1.0000e-02,580.0000,0,11,0,28921,0,1068,80.0963
1.0000e-02,600.0000,0,7,0,28924,0,1069,77.3059
1.0000e-02,620.0000,0,10,0,28940,0,1050,75.7718
1.0000e-02,640.0000,0,5,0,29024,0,971,69.0345
1.0000e-02,660.0000,0,5,0,28991,0,1004,67.2175
1.0000e-02,680.0000,0,5,0,29051,0,944,67.1669
1.0000e-02,700.0000,0,11,0,28982,0,1007,63.2849
1.0000e-02,720.0000,0,10,0,29044,0,946,60.5821
1.0000e-02,740.0000,0,5,0,29031,0,964,58.7831
1.0000e-02,760.0000,0,4,0,29081,0,915,57.2761
1.0000e-02,780.0000,0,7,1,29075,0,917,54.6431
2.5000e-02,0.0000,699,2419,12,26553,0,317,230.5465
2.5000e-02,10.0000,495,2400,6,26822,0,277,213.8038
2.5000e-02,20.0000,468,2185,7,27026,0,314,220.7737
